user_name,wine_name,user_rating,avg_rating,profile_url
,Fanagoria (Фанаго?и?) NR ?е?ло (NR Merlot) 2017,3,3.1,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) NR ?абе?не ?озовое (NR Cabernet Rosé) 2016,3,3.5,https://www.vivino.com/users/stas-dr
,??бан?-?ино (Kuban-Vino) ?м?? ??а?ное С??ое (Amur Red Dry) 2017,2.5,3.3,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) ?в?о??кое вино ?ла?ов?кий ???и?линг (Signature Platovsky ??Riesling) 2017,3,3.6,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) ?в?о??кое ?ино ??а? - ?е?ло (Signature Pinot Noir - Merlot) 2016,3,3.2,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) ?в?о??он Цимл?н?кий Ч??н?й (Autochthon Tsimlansky Black) 2018,3,3.6,https://www.vivino.com/users/stas-dr
,Château Tamagne Reserve Krasnostop 2017,3,3.7,https://www.vivino.com/users/stas-dr
,Zupa ??о?н??а ??ана? ??а?ное С??ое (Broyanutsa Vranac Red Dry) 2017,3,3.7,https://www.vivino.com/users/stas-dr
,Château Tamagne Chardonnay de Tamagne Blanc Sec Sec,2.5,3.4,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) ?в?о??кое ?абе?не - Сапе?ави (Signature Cabernet - Saperavi) 2018,3,3.7,https://www.vivino.com/users/stas-dr
,Insight Sauvignon Blanc 2016,4,4.1,https://www.vivino.com/users/stas-dr
,Château Tamagne Rouge ??а?но??оп - ?н?ело??а (Krasnostop - Ancelotta) 2018,3,3.4,https://www.vivino.com/users/stas-dr
,Château Tamagne Saperavi de Tamagne Rouge Sec 2018,3.5,3.6,https://www.vivino.com/users/stas-dr
,Verano Dry Tinto 2019,2.5,2.9,https://www.vivino.com/users/stas-dr
,Verano Dry Blanco 2019,2.5,3.2,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) ?в?о??кое вино ??1 (Signature Wine No. 1) 2017,3,3.3,https://www.vivino.com/users/stas-dr
,?ев? ?оли??н? ?ол??ладкое 2019,2,3.4,https://www.vivino.com/users/stas-dr
,Sant'Orsola Lambrusco Rosso 2019,2,0,https://www.vivino.com/users/stas-dr
,Louis Roederer Brut Premier Champagne N.V.,4,4.2,https://www.vivino.com/users/stas-dr
,Gancia Prosecco Dry Dry,3.5,4,https://www.vivino.com/users/stas-dr
,Midnight Kiss Baco Noir 2016,3.5,3.8,https://www.vivino.com/users/stas-dr
,Matsu El Picaro 2018,3.5,3.9,https://www.vivino.com/users/stas-dr
,Le Grand Noir Pinot Noir 2017,3,3.7,https://www.vivino.com/users/stas-dr
,Monte Toro 3 Añada Selección 2017,3,3.4,https://www.vivino.com/users/stas-dr
,Gancia Asti N.V.,3,3.9,https://www.vivino.com/users/stas-dr
,Redwood Vineyards Pinot Noir 2016,3.5,4,https://www.vivino.com/users/stas-dr
,Rauli Syrah 2017,3,3.6,https://www.vivino.com/users/stas-dr
,Steakwine Torrontés 2018,3.5,3.7,https://www.vivino.com/users/stas-dr
,Le Grand Noir Chardonnay 2018,3.5,4,https://www.vivino.com/users/stas-dr
,Canti Prosecco Millesimato 2018,3.5,3.7,https://www.vivino.com/users/stas-dr
,De Martino Legado Chardonnay (Reserva) 2015,4,3.9,https://www.vivino.com/users/stas-dr
,Álvaro Palacios Camins del Priorat 2016,4,4,https://www.vivino.com/users/stas-dr
,Prà Otto Soave Classico 2016,3.5,3.9,https://www.vivino.com/users/stas-dr
,Amatore Bianco Verona 2018,3.5,3.7,https://www.vivino.com/users/stas-dr
,Martini Brut N.V.,3.5,3.5,https://www.vivino.com/users/stas-dr
,Martini Prosecco Extra Dry Dry,3.5,3.8,https://www.vivino.com/users/stas-dr
,Ravasqueira Fonte da Serrana Tinto 2017,3.5,4.2,https://www.vivino.com/users/stas-dr
,Château Tamagne Reserve Cabernet 2015,3.5,3.7,https://www.vivino.com/users/stas-dr
,Hardys Legacy Rich & Spicy Red 2018,3,3.8,https://www.vivino.com/users/stas-dr
,Frontera Chardonnay 2018,3.5,3.3,https://www.vivino.com/users/stas-dr
,Amatore Bianco Verona 2018,3.5,3.7,https://www.vivino.com/users/stas-dr
,Aves del Sur Reserva Carmenère 2017,3.5,3.6,https://www.vivino.com/users/stas-dr
,Marangona Lugana 2015,4,3.9,https://www.vivino.com/users/stas-dr
,Salida Tannat 2015,3.5,3.5,https://www.vivino.com/users/stas-dr
,Plaimont Paradis Gascon Côtes de Gascogne 2017,3.5,3.9,https://www.vivino.com/users/stas-dr
,Rolly Gassmann Kappelweg de Rorschwihr Riesling Vendanges Tardives 2009,4,0,https://www.vivino.com/users/stas-dr
,Gergenti Nero d'Avola - Sangiovese 2012,4,3.8,https://www.vivino.com/users/stas-dr
,Abrau Durso (?б?а?-????о) Victor Dravigny ?озовое ???? (Rosé Brut) 2016,3.5,3.6,https://www.vivino.com/users/stas-dr
,Rhonéa Confidence Beaumes de Venise 2015,3.5,3.9,https://www.vivino.com/users/stas-dr
,Cono Sur Tocornal Sauvignon Blanc 2018,3.5,3.6,https://www.vivino.com/users/stas-dr
,Plaimont Le Gasconierre Côtes de Gascogne Blanc 2017,3,4.3,https://www.vivino.com/users/stas-dr
,Les Granitiers Blanc Blanc,2,3.2,https://www.vivino.com/users/stas-dr
,Colterenzio (Schreckbichl) Pfefferer 2016,4.5,4.3,https://www.vivino.com/users/stas-dr
,Bouchard Aîné & Fils Chardonnay Grand Conseiller 2017,3.5,3.7,https://www.vivino.com/users/stas-dr
,Castelsina Toscana Rosso 2014,3.5,3.7,https://www.vivino.com/users/stas-dr
,Amaranta Chardonnay - Viognier 2017,3,3.6,https://www.vivino.com/users/stas-dr
,Barkan Classic Cabernet Sauvignon 2017,4,3.5,https://www.vivino.com/users/stas-dr
,Villadoria Barbaresco 2012,4,3.7,https://www.vivino.com/users/stas-dr
,Dr. Willkomm Mosel Riesling Feinherb 2017,3.5,4.2,https://www.vivino.com/users/stas-dr
,Sommelier's Collection Riesling Halbtrocken 2017,4,4,https://www.vivino.com/users/stas-dr
,Aristov Cuvée Alexander Rose de Pinot Extra Brut 2017,3.5,3.6,https://www.vivino.com/users/stas-dr
,Andreola Bolle Cuvée Extra Dry 2017,3.5,3.7,https://www.vivino.com/users/stas-dr
,Mateus Sparkling Brut Rosé 2018,3.5,3.6,https://www.vivino.com/users/stas-dr
,Delagne & Fils Tradition de Delagne Champagne Grande Cuvée Brut 2015,4.5,0,https://www.vivino.com/users/stas-dr
,Lacour Tourny Bordeaux Blanc 2017,3,3.5,https://www.vivino.com/users/stas-dr
,Gran Familia Rosé 2018,3,3.4,https://www.vivino.com/users/stas-dr
,Villa Maria Private Bin Dry Riesling 2016,4.5,3.8,https://www.vivino.com/users/stas-dr
,Vinedos Santa Lucia Special Release Merlot 2018,3,3.7,https://www.vivino.com/users/stas-dr
,Fox Grove Shiraz - Cabernet Sauvignon 2018,3,3.7,https://www.vivino.com/users/stas-dr
,Opera Prima Verdejo La Mancha 2018,3,3.2,https://www.vivino.com/users/stas-dr
,Duca di Saragnano Vecciano Toscana 2013,4,4,https://www.vivino.com/users/stas-dr
,Top Five Collection Pinotage 2018,3,3.7,https://www.vivino.com/users/stas-dr
,Barkan Classic Shiraz 2017,3.5,3.7,https://www.vivino.com/users/stas-dr
,Santa Luz Carmenère 2018,3.5,3.5,https://www.vivino.com/users/stas-dr
,Rossetti Facetus Bianco Toscana 2018,3.5,3.8,https://www.vivino.com/users/stas-dr
,Berteletti Pozzo Falestro Negroamaro 2017,3,3.3,https://www.vivino.com/users/stas-dr
,Amalaya Blanco (Torrontés - Riesling) 2016,4.5,3.7,https://www.vivino.com/users/stas-dr
,Pampas del Sur Select Chardonnay - Chenin 2018,3.5,3.7,https://www.vivino.com/users/stas-dr
,Berton Vineyard Outback Jack Shiraz - Merlot 2016,3,3.7,https://www.vivino.com/users/stas-dr
,Fauno Primitivo 2017,3.5,3.8,https://www.vivino.com/users/stas-dr
,Krohn Porto Valdouro Ruby Port N.V.,3.5,3.9,https://www.vivino.com/users/stas-dr
,Antica Contada Montepulciano d'Abruzzo 2016,3.5,3.4,https://www.vivino.com/users/stas-dr
,Top Five Collection Chenin Blanc 2017,3.5,3.5,https://www.vivino.com/users/stas-dr
,Bodegas Aragonesas Don Ramón Pérez Juan 2017,4,3.9,https://www.vivino.com/users/stas-dr
,Louis Jadot Bourgogne Couvent des Jacobins 2015,4,3.6,https://www.vivino.com/users/stas-dr
,Gaía Monograph Agiorgitiko 2017,3.5,3.5,https://www.vivino.com/users/stas-dr
,Poggio le Volpi Tator Primitivo 2016,4,4.2,https://www.vivino.com/users/stas-dr
,Fonte Pequena Maré Alta Alta,3,4.3,https://www.vivino.com/users/stas-dr
,Castillo Santa Barbara Gran Reserva 2011,4,3.8,https://www.vivino.com/users/stas-dr
,Abrau Durso (?б?а?-????о) Victor Dravigny Эк???а ???? (Extra Brut) 2014,3.5,3.8,https://www.vivino.com/users/stas-dr
,Abrau Durso (?б?а?-????о) Victor Dravigny ?озовое ???? (Rosé Brut) 2014,4,0,https://www.vivino.com/users/stas-dr
,Two Oceans Pinotage 2013,4,3.2,https://www.vivino.com/users/stas-dr
,Fox Grove Chardonnay - Sémillon 2018,3.5,3.7,https://www.vivino.com/users/stas-dr
,Berton Vineyard Outback Jack Cabernet - Merlot 2017,3,3.6,https://www.vivino.com/users/stas-dr
,Turner Road Reserve Chardonnay 2017,3.5,3.4,https://www.vivino.com/users/stas-dr
,Cavino IONOS Red 2016,3,3.4,https://www.vivino.com/users/stas-dr
,Gran Appasso Rosso 2016,4,3.9,https://www.vivino.com/users/stas-dr
,Turner Road Reserve Rosé 2016,4,4,https://www.vivino.com/users/stas-dr
,Pampas del Sur Select Shiraz - Malbec 2017,3.5,3.4,https://www.vivino.com/users/stas-dr
,Fauno Negroamaro 2017,3.5,3.9,https://www.vivino.com/users/stas-dr
,Zarafa Shiraz 2017,3,3.4,https://www.vivino.com/users/stas-dr
,Rachelle Semisweet Semisweet,1,2.9,https://www.vivino.com/users/stas-dr
,Pirovano Trebbiano Rubicone 2017,3,3.9,https://www.vivino.com/users/stas-dr
,Berton Vineyard Outback Jack Semillon - Sauvignon Blanc 2015,3.5,3.2,https://www.vivino.com/users/stas-dr
,Bodegas Lagunilla Crianza 2015,3,3.4,https://www.vivino.com/users/stas-dr
,Cielo e Terra Bardolino Sante Rive 2017,3.5,3.3,https://www.vivino.com/users/stas-dr
,Campo Viejo Tempranillo 2015,4,3.6,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) ???? белое (White Brut) Brut),3,3.6,https://www.vivino.com/users/stas-dr
,La Vieille Ferme Rosé 2015,3.5,3.6,https://www.vivino.com/users/stas-dr
,Trivento Reserve Malbec 2014,3.5,3.5,https://www.vivino.com/users/stas-dr
,V. Cristina Blue Moscato Moscato,2.5,3.1,https://www.vivino.com/users/stas-dr
